Prediction Horizon,Patient,Approach,RMSE,Train Samples,Test Samples
6,001,Glucose+Insulin,19.83064717461255,4820,428
6,001,LastMeal,19.364382617771458,4820,428
6,001,Bezier,20.732482293619363,4820,428
6,002,Glucose+Insulin,22.110053755852203,4820,318
6,002,LastMeal,22.19643935446591,4820,318
6,002,Bezier,22.115179955347703,4820,318
6,004,Glucose+Insulin,33.30129157012277,4820,292
6,004,LastMeal,31.391343698092303,4820,292
6,004,Bezier,32.77260146622073,4820,292
6,006,Glucose+Insulin,11.765907968114853,4820,386
6,006,LastMeal,12.413718843080504,4820,386
6,006,Bezier,12.019504521894445,4820,386
6,007,Glucose+Insulin,11.620226341507323,4820,296
6,007,LastMeal,11.289765415867853,4820,296
6,007,Bezier,12.331312579795494,4820,296
6,008,Glucose+Insulin,17.677475589150305,4820,349
6,008,LastMeal,17.921494284785613,4820,349
6,008,Bezier,16.931764887132555,4820,349
9,001,Glucose+Insulin,32.15904136056843,4806,427
9,001,LastMeal,30.153381857772835,4806,427
9,001,Bezier,34.31408177513951,4806,427
9,002,Glucose+Insulin,35.994088374232284,4806,317
9,002,LastMeal,36.81931363897025,4806,317
9,002,Bezier,36.66663693413504,4806,317
9,004,Glucose+Insulin,49.68364814488251,4806,291
9,004,LastMeal,48.206575267215314,4806,291
9,004,Bezier,49.70006357617409,4806,291
9,006,Glucose+Insulin,17.44496403173935,4806,385
9,006,LastMeal,19.057963912600624,4806,385
9,006,Bezier,17.92766242400527,4806,385
9,007,Glucose+Insulin,17.58105826425378,4806,294
9,007,LastMeal,18.424134484042593,4806,294
9,007,Bezier,18.74586480294754,4806,294
9,008,Glucose+Insulin,27.381179383976942,4806,348
9,008,LastMeal,27.09934400157132,4806,348
9,008,Bezier,26.525481277851124,4806,348
12,001,Glucose+Insulin,40.45273326727265,4790,427
12,001,LastMeal,39.698756110147535,4790,427
12,001,Bezier,43.85890772739541,4790,427
12,002,Glucose+Insulin,47.893563765372264,4790,316
12,002,LastMeal,48.97074260721759,4790,316
12,002,Bezier,48.75221368718136,4790,316
12,004,Glucose+Insulin,62.082661064254204,4790,290
12,004,LastMeal,62.52829068200958,4790,290
12,004,Bezier,62.307695639997235,4790,290
12,006,Glucose+Insulin,22.931984576747514,4790,384
12,006,LastMeal,27.118438686038772,4790,384
12,006,Bezier,23.94609348651365,4790,384
12,007,Glucose+Insulin,22.915208124864673,4790,293
12,007,LastMeal,23.17343973102848,4790,293
12,007,Bezier,23.775040700979947,4790,293
12,008,Glucose+Insulin,35.75710317263792,4790,347
12,008,LastMeal,34.64417163429155,4790,347
12,008,Bezier,35.51401594750815,4790,347
18,001,Glucose+Insulin,51.77023013645143,4761,425
18,001,LastMeal,54.215039300360566,4761,425
18,001,Bezier,58.48569211414407,4761,425
18,002,Glucose+Insulin,68.51259041302774,4761,314
18,002,LastMeal,67.11717336470491,4761,314
18,002,Bezier,65.55833418567099,4761,314
18,004,Glucose+Insulin,83.16172008729099,4761,288
18,004,LastMeal,83.79578930297373,4761,288
18,004,Bezier,82.31589659769553,4761,288
18,006,Glucose+Insulin,31.644766818203404,4761,383
18,006,LastMeal,38.8057984810431,4761,383
18,006,Bezier,34.53008263255661,4761,383
18,007,Glucose+Insulin,31.521039374234093,4761,289
18,007,LastMeal,35.36805677927127,4761,289
18,007,Bezier,36.47822037603414,4761,289
18,008,Glucose+Insulin,46.95677805454888,4761,345
18,008,LastMeal,52.65099465522689,4761,345
18,008,Bezier,48.897945844390996,4761,345
24,001,Glucose+Insulin,56.23823123298501,4731,423
24,001,LastMeal,60.28976162053281,4731,423
24,001,Bezier,75.99516627444176,4731,423
24,002,Glucose+Insulin,79.55010523256735,4731,312
24,002,LastMeal,84.1954867971548,4731,312
24,002,Bezier,92.68232312695767,4731,312
24,004,Glucose+Insulin,103.03683869440277,4731,287
24,004,LastMeal,104.16466147579793,4731,287
24,004,Bezier,108.74732888703028,4731,287
24,006,Glucose+Insulin,39.540106702709984,4731,381
24,006,LastMeal,48.14966699186968,4731,381
24,006,Bezier,53.13411238881674,4731,381
24,007,Glucose+Insulin,36.38756410477828,4731,285
24,007,LastMeal,51.53607492699684,4731,285
24,007,Bezier,47.016072283036436,4731,285
24,008,Glucose+Insulin,54.69421516999365,4731,344
24,008,LastMeal,59.15376218009781,4731,344
24,008,Bezier,56.6865409226145,4731,344
